City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
175,coquimbo,-29.9533,-71.3436,12.85,94,0,1.03,CL,1690940401
176,gadzhiyevo,69.2551,33.3362,14.29,93,100,3.64,RU,1690940545
177,paulden,34.8856,-112.4682,28.64,59,60,1.08,US,1690940545
178,nova xavantina,-14.6667,-52.35,23.49,38,0,1.11,BR,1690940545
179,utrik,11.2278,169.8474,28.49,76,96,7.02,MH,1690940546
180,brookings,44.3114,-96.7984,27.32,75,0,4.12,US,1690940546
181,talalayivka,50.9578,31.9209,15.73,90,2,2.8,UA,1690940546
182,new norfolk,-42.7826,147.0587,12.18,59,74,2.01,AU,1690940546
183,yuzhno-kurilsk,44.0306,145.8556,22.16,73,78,2.49,RU,1690940547
184,hami,42.8,93.45,31.81,21,18,3.85,CN,1690940547
185,port alfred,-33.5906,26.891,12.52,79,15,3.45,ZA,1690940547
186,katsuura,35.1333,140.3,32.01,76,28,6.02,JP,1690940548
187,hailun,47.45,126.9333,23.78,93,100,4.18,CN,1690940548
188,bay city,43.5945,-83.8889,22.12,76,0,1.54,US,1690940466
189,ad dindar,13.2,34.1667,22.91,90,69,3.52,SD,1690940549
190,agat village,13.3886,144.6585,31.06,81,100,1.54,GU,1690940549
191,saint-louis du nord,19.9333,-72.7167,28.04,83,100,4.35,HT,1690940549
192,yendi,9.4427,-0.0099,23.22,93,100,3.68,GH,1690940549
193,ulladulla,-35.35,150.4667,17.56,59,46,3.0,AU,1690940549
194,nadym,65.5333,72.5167,21.35,74,1,4.75,RU,1690940550
195,gaalkacyo,6.7697,47.4308,25.13,68,100,8.68,SO,1690940550
196,boujniba,32.9005,-6.7746,21.28,54,0,2.3,MA,1690940550
197,zouerate,22.7187,-12.4521,33.79,14,0,5.13,MR,1690940551
198,tambopata,-12.7333,-69.1833,23.73,57,0,0.34,PE,1690940551
199,alexandroupoli,40.8475,25.8744,20.9,78,0,0.0,GR,1690940551
200,regina,50.4501,-104.6178,26.99,53,75,5.66,CA,1690939833
201,whitehorse,60.7161,-135.0538,20.17,66,75,3.58,CA,1690940408
202,stawell,-37.05,142.7667,12.55,73,0,4.85,AU,1690940552
203,pathein,16.7833,94.7333,28.54,81,91,6.89,MM,1690940355
204,slyudyanka,51.6594,103.7061,17.86,100,100,2.0,RU,1690940552
205,ust-nera,64.5667,143.2,16.26,48,86,1.99,RU,1690940552
206,loango,-4.6719,11.8312,21.81,83,100,1.54,CG,1690940553
207,guangming,45.3333,122.7833,27.09,82,99,3.48,CN,1690940553
208,tidjikja,18.5564,-11.4271,31.11,41,3,7.53,MR,1690940553
209,brazzaville,-4.2658,15.2832,21.2,83,75,1.03,CG,1690940553
210,kopychyntsi,49.1044,25.9103,16.91,72,100,3.37,UA,1690940554
211,tangancicuaro de arista,19.9,-102.1333,20.07,79,99,1.91,MX,1690940554
212,west island,-12.1568,96.8225,24.99,73,75,6.69,CC,1690940554
213,padang,-0.9492,100.3543,26.03,74,63,0.82,ID,1690940554
214,kyren,51.6828,102.1408,17.26,98,100,1.31,RU,1690940555
215,genhe,50.7833,121.5167,27.42,40,26,3.34,CN,1690940555
216,la ronge,55.1001,-105.2842,22.14,56,20,5.14,CA,1690940555
217,hassi messaoud,31.6804,6.0729,31.92,22,0,1.03,DZ,1690940555
218,igarka,67.4667,86.5833,24.62,55,0,3.93,RU,1690940556
219,puerto ayora,-0.7393,-90.3518,24.75,92,59,2.68,EC,1690940556
220,polyarnyy,69.1989,33.4478,14.38,94,100,3.61,RU,1690940556
221,sinabang,2.4803,96.3801,27.07,76,96,1.37,ID,1690940556
222,amarante do maranhao,-5.5667,-46.7422,24.47,44,10,1.53,BR,1690940557
223,port lincoln,-34.7333,135.8667,16.94,54,0,6.64,AU,1690940472
224,queenstown,-31.8976,26.8753,3.67,76,8,1.14,ZA,1690940557
225,eshowe,-28.8865,31.4699,8.81,79,12,2.26,ZA,1690940557
226,colonia,50.9333,6.95,16.6,82,20,4.12,DE,1690940376
227,uzgen,40.7699,73.3007,27.16,28,97,2.93,KG,1690940558
228,minas de marcona,-15.2119,-75.1103,13.92,84,40,4.06,PE,1690940558
229,chalus,36.655,51.4204,24.7,88,40,1.03,IR,1690940558
230,cabo san lucas,22.8909,-109.9124,33.17,62,0,3.09,MX,1690940415
231,dongola,19.1667,30.4833,30.79,47,49,5.37,SD,1690940559
232,tamanrasset,22.785,5.5228,29.95,12,40,2.57,DZ,1690940559
233,aasiaat,68.7098,-52.8699,2.93,91,90,1.91,GL,1690940559
234,vadso,70.0744,29.7487,12.49,93,20,1.03,NO,1690940560
235,portland,45.5234,-122.6762,31.99,30,0,6.17,US,1690939762
236,qaryat suluq,31.6682,20.2521,25.84,62,0,1.01,LY,1690940560
237,nieuw amsterdam,5.8833,-55.0833,25.08,89,10,3.03,SR,1690940560
238,alofi,-19.0595,-169.9187,20.94,94,100,7.2,NU,1690940560
239,kilindoni,-7.9139,39.6668,24.75,78,5,7.3,TZ,1690940561
240,lerwick,60.1545,-1.1494,12.0,95,100,4.67,GB,1690940561
241,dzhetygara,52.1908,61.2006,16.52,84,2,4.12,KZ,1690940561
242,falmouth,50.1544,-5.0711,16.5,100,100,9.77,GB,1690940562
243,olinda,-8.0089,-34.8553,25.85,83,40,4.12,BR,1690940520
244,tobelo,1.7284,128.0095,29.19,69,11,2.37,ID,1690940562
245,birobidzhan,48.8,132.95,23.51,80,100,1.66,RU,1690940562
246,jinchang,38.4953,102.1739,26.01,42,100,1.22,CN,1690940562
247,mollendo,-17.0231,-72.0147,17.56,83,32,2.32,PE,1690940563
248,paracuru,-3.41,-39.0306,26.73,87,24,5.06,BR,1690940563
